origin,destination,category,walk_dist_m,walk_time_min,transit_dist_m,transit_time_min,transit_cost,transit_metro,drive_dist_m,drive_time_min,drive_tolls
秋港花园,NOWWA挪瓦咖啡(美宜佳深圳佳兆业三期店),咖啡厅,1513,20.2,,,,,,,
秋港花园,NOWWA挪瓦咖啡(美宜佳深圳龙华清湖宝能科技园店),咖啡厅,1529,20.4,,,,,,,
秋港花园,kk便利店(佳兆业·呈祥花园店),便利店,1328,17.7,,,,,,,
秋港花园,中信银行(深圳坂田社区支行),银行,1640,21.9,,,,,,,
秋港花园,中国工商银行(深圳云谷支行),银行,2582,34.4,,,,,,,
秋港花园,中国石化深圳澜清加油站,加油站,3123,41.6,,,,,,,
秋港花园,乐刻运动健身(坂田天安云谷店),体育场馆,2213,29.5,,,,,,,
秋港花园,侨安科技工业园地面停车场,停车场,1356,18.1,,,,,,,
秋港花园,农贸生鲜(碧家国际社区店),菜市场,1913,25.5,,,,,,,
秋港花园,华为(地铁站),地铁站,,,2618,33.5,2.0,True,,,
秋港花园,南北药行,药店,313,4.2,,,,,,,
秋港花园,同步齿科深圳宝能口腔诊所,医院,,,1205,23.4,8.0,False,,,
秋港花园,呈欣面包(华为秋港花园店),餐饮,419,5.6,,,,,,,
秋港花园,呈祥花园(公交站),公交站,1314,17.5,,,,,,,
秋港花园,商业停车场,停车场,825,11.0,,,,,,,
秋港花园,坂田北带状公园,公园,,,1187,23.4,2.0,False,,,
秋港花园,宝岗小学,教育,,,2358,45.0,2.0,True,3299,10.7,0
秋港花园,岗头(地铁站),地铁站,,,1509,31.5,2.0,True,2225,7.5,0
秋港花园,岗头北(地铁站),地铁站,,,1755,33.8,8.0,False,,,
秋港花园,岗头社康中心,医院,,,2399,65.6,3.0,False,2423,8.8,0
秋港花园,岗头科技公园,公园,718,9.6,,,,,,,
秋港花园,岗头街心公园,公园,2541,33.9,,,,,,,
秋港花园,平安银行24小时自助银行(坂田支行),ATM,2246,29.9,,,,,,,
秋港花园,平安银行24小时自助银行(鹭湖支行),ATM,3462,46.2,,,,,,,
秋港花园,康氏菜园(佳兆业·中央广场一期店),菜市场,1670,22.3,,,,,,,
秋港花园,御仁堂中医诊所,诊所,1631,21.8,,,,,,,
秋港花园,恒辉百货,商场,,,,,,,2098,9.6,0
秋港花园,担担送城市广场线下体验店,超市,1609,21.4,,,,,,,
秋港花园,拉伽瑜伽(华为秋港花园店),体育场馆,791,10.6,,,,,,,
秋港花园,星耀里商场,商场,2571,34.3,,,,,2665,8.8,0
秋港花园,江南时代广场,商场,,,,,,,2462,8.2,0
秋港花园,沙县小吃(威信达店),餐饮,1398,18.6,,,,,,,
秋港花园,深圳信美义口腔诊所(秋港花园店),社区医院,564,7.5,,,,,,,
秋港花园,深圳市人民医院(坂田院区),医院,,,2076,33.5,3.0,False,3053,9.9,0
秋港花园,深圳市龙华区德风小学附属白鸽湖幼儿园,教育,,,3411,54.5,2.5,False,4296,12.2,0
秋港花园,深圳市龙华区观湖实验学校,小学,2752,36.7,1943,39.5,2.0,False,2656,9.1,0
秋港花园,深圳市龙岗区第二中医院,医院,,,,,,,4348,12.3,0
秋港花园,深圳正恩口腔门诊部(岗头店),医院,,,1374,35.1,2.0,True,,,
秋港花园,深圳贝壳星口腔诊所,社区医院,3659,48.8,,,,,,,
秋港花园,深圳颐康堂诊所,诊所,2844,37.9,,,,,,,
秋港花园,清湖商业广场,商场,3280,43.7,,,,,,,
秋港花园,禾坪岗康乐广场,广场,2915,38.9,,,,,,,
秋港花园,秋港花园F区(公交站),公交站,207,2.8,,,,,,,
秋港花园,美宜佳(华为秋港花园店),便利店,802,10.7,,,,,,,
秋港花园,肖传国医院,综合医院,2631,35.1,1670,36.5,2.0,True,2554,8.8,0
秋港花园,花半里社康服务中心,医院,,,,,,,4291,12.9,0
秋港花园,蔚享天成汽车充电站(中央广场停车场),充电站,1428,19.0,,,,,,,
秋港花园,观湖(地铁站),地铁站,3180,42.4,,,,,,,
秋港花园,辉旺新鲜生活超市,超市,2970,39.6,,,,,,,
秋港花园,达克云汽车充电站(坂田好时达科技园充电站),充电站,1224,16.3,,,,,,,
秋港花园,雪象(地铁站),地铁站,,,1489,32.6,4.0,True,2012,7.7,0
秋港花园,雪象小学,教育,,,2006,35.2,3.0,False,,,
秋港花园,雪象第二幼儿园,中学,2391,31.9,2071,30.8,3.0,False,2317,8.7,0
秋港花园,风门坳(地铁站),地铁站,1485,19.8,1109,22.2,8.0,False,1703,3.9,0
秋港花园,黄飞鸿热灸理疗馆(佳兆业城市广场店),药店,1598,21.3,,,,,,,
秋港花园,龙岗区外国语学校(集团)云和学校小学部,小学,3546,47.3,,,,,,,
